name,title,home_unit
Scott Klasky,Adjunct Professor,School of Computer Science
Vladimir Kolesnikov,Associate Professor,School of Computer Science
Maria Konte,Research Scientist I,School of Computer Science
Kevin Koo,Post-Doc,School of Computer Science
Tushar Krishna,Adjunct Assistant Professor,School of Computer Science
Wenke Lee,"Professor, Co-Director of IISP, and John P. Imlay…",School of Computer Science
Ling Liu,Professor,School of Computer Science
Yisreol Mirsky,Post-Doc,School of Computer Science
Vincent Mooney,Adjunct Associate Professor in SCS,School of Computer Science
Shamkant Navathe,Professor,School of Computer Science
Alessandro Orso,Professor and Associate Dean of Off-Campus and…,School of Computer Science
Santosh Pande,"Professor, Associate Chair for Graduate Studies,…",School of Computer Science
Sunjae Park,Post-Doc,School of Computer Science
Sunjae Park,Post-Doc,School of Computer Science
Sri Raj Paul,Post-Doc,School of Computer Science
Paul Pearce,Assistant Professor ,School of Computer Science
Richard Peng,Associate Professor,School of Computer Science
Roberto Perdisci,Adjunct Assistant Professor,School of Computer Science
Milos Prvulovic,Professor and Associate School Chair,School of Computer Science
Calton Pu,"Professor and John P. Imlay, Jr. Chair in Software",School of Computer Science
Moin Qureshi,Professor,School of Computer Science
Moinuddin Qureshi,Professor ,School of Computer Science
Umakishore Ramachandran,Professor,School of Computer Science
Dana Randall,"ADVANCE Professor of Computing, Adjunct Professor…",School of Computer Science
Spencer Rugaber,Adjunct Senior Research Scientist,School of Computer Science
Ahmed Saeed,Assitant Professor,School of Computer Science
Brendan Saltaformaggio,Adjunct Assistant Professor,School of Computer Science
Vivek Sarkar,"Chair, School of Computer Science",School of Computer Science
Jun Shirako,Senior Research Scientist,School of Computer Science
Sahil Singla,Assitant Professor,School of Computer Science
Prasad Tetali,"Regents' Professor, Joint with the School of…",School of Computer Science
Alexey Tumanov,Assistant Professor,School of Computer Science
Santosh Vempala,Frederick G. Storey Chair in Computing and…,School of Computer Science
Qi Xin,Post-Doc,School of Computer Science
Jun Xu,Professor,School of Computer Science
Guangliang Yang,Post-Doc,School of Computer Science
Jeffrey Young,Senior Research Scientist,School of Computer Science
Ellen Zegura,Professor and Stephen Fleming Chair in…,School of Computer Science
Qirun Zhang,Assistant Professor,School of Computer Science
Jisheng Zhao,Senior Research Scientist,School of Computer Science
Mustaque Ahamad,Professor; Associate Director – Educational…,School of Cybersecurity and Privacy
Alexandra Boldyreva," Professor, Associate Chair for Graduate Studies",School of Cybersecurity and Privacy
Sue Jean Chae,Financial Administration Lead,School of Cybersecurity and Privacy
Courtney Crooks,GTRI Principal Research Scientist,School of Cybersecurity and Privacy
Richard DeMillo, School of Cybersecurity and Privacy Interim…,School of Cybersecurity and Privacy
Merrick Furst,Distinguished Professor,School of Cybersecurity and Privacy
Daniel Genkin ,Associate Professor,School of Cybersecurity and Privacy
Seymour Goodman,"Regents' Professor, Joint with the Sam Nunn…",School of Cybersecurity and Privacy
Karl Grindal,Postdoctoral Fellow ,School of Cybersecurity and Privacy
Joseph Jaeger,Assistant Professor,School of Cybersecurity and Privacy
Taesoo Kim,"Associate Professor and Director, GTS3",School of Cybersecurity and Privacy
Vladimir Kolesnikov,Associate Professor,School of Cybersecurity and Privacy
Nadiya Kostyuk,"Assistant Professor, Joint with the School of…",School of Cybersecurity and Privacy
Wenke Lee,"Professor, Co-Director of IISP, and John P. Imlay…",School of Cybersecurity and Privacy
Lee Lerner,"Chief Scientist, Georgia Tech Research Institute",School of Cybersecurity and Privacy
Frank Li,"Assistant Professor, Joint with the School of…",School of Cybersecurity and Privacy
Jon Lindsay,"Associate Professor, Joint with the Sam Nunn…",School of Cybersecurity and Privacy
Jon R. Lindsay,"Associate Professor in SCP, Joint with Sam Nunn…",School of Cybersecurity and Privacy
Vijay Madisetti,"Professor, Joint with the School of Electrical…",School of Cybersecurity and Privacy
Sukarno Mertoguno,"Deputy Director, Institute for Information…",School of Cybersecurity and Privacy
Milton Mueller,"Professor of Public Policy, Joint with the School…",School of Cybersecurity and Privacy
Paul Pearce,Assistant Professor ,School of Cybersecurity and Privacy
Brendan Saltaformaggio,Adjunct Assistant Professor,School of Cybersecurity and Privacy
Brendan Saltaformaggio,"Assistant Professor, Joint with the School of…",School of Cybersecurity and Privacy
Peter Swire,"Professor of Law and Ethics, Joint with the…",School of Cybersecurity and Privacy
Gregory Abowd,Professor Emeritus,School of Interactive Computing
Clio Andris,"Assistant Professor, joint w/ School of City…",School of Interactive Computing
Annie Antón,Professor,School of Interactive Computing
Ronald Arkin,Regents' Professor,School of Interactive Computing
Rosa Arriaga,Associate Professor and Associate Chair of…,School of Interactive Computing
Tucker Balch,Professor,School of Interactive Computing
Dhruv Batra,Associate Professor,School of Interactive Computing
Michael Best,"Professor, Joint with the Sam Nunn School of…",School of Interactive Computing
Ian Bogost,"Professor, Joint with School of Literature, Media…",School of Interactive Computing
Mark Braunstein,Professor Emeritus,School of Interactive Computing
Carrie Bruce,Senior Research Scientist,School of Interactive Computing
Amy Bruckman,Regents' Professor and Senior Associate Chair,School of Interactive Computing
Richard Catrambone,"Adjunct Professor, Joint with the School of…",School of Interactive Computing
Duen Horng (Polo) Chau,Associate Professor,School of Interactive Computing
Sonia Chernova,Associate Professor,School of Interactive Computing
Henrik I. Christensen,Adjunct Professor,School of Interactive Computing
Sauvik Das,Assistant Professor,School of Interactive Computing
Munmun DeChoudhury,Associate Professor,School of Interactive Computing
Frank Dellaert,Professor,School of Interactive Computing
Betsy DiSalvo,Associate Professor,School of Interactive Computing
Carl DiSalvo,Associate Professor,School of Interactive Computing
Jon Duke,"Principal Research Scientist, Joint with GTRI",School of Interactive Computing
Athanassios Economou,Adjunct Professor,School of Interactive Computing
Keith Edwards,Professor and Director of GVU,School of Interactive Computing
Luke Eglington,Research Scientist I,School of Interactive Computing
Alex Endert,Associate Professor,School of Interactive Computing
Irfan Essa,Distinguished Professor and Senior Associate Dean,School of Interactive Computing
James Foley,Fleming Chair Emeritus,School of Interactive Computing
Ashok Goel,Professor,School of Interactive Computing
Matthew Gombolay,Assistant Professor,School of Interactive Computing
Kinnis Gosha,Adjunct Faculty Member,School of Interactive Computing
Eric Gregori,Research Scientist I,School of Interactive Computing
Andrea Grimes Parker,Associate Professor,School of Interactive Computing
Beki Grinter,"Associate Dean for Faculty Development, Professor",School of Interactive Computing
Concettina Guerra,Professor (Part-Time),School of Interactive Computing
Sehoon Ha,Assistant Professor,School of Interactive Computing
James Hays,Associate Professor,School of Interactive Computing
Richard Henneman,Professor of the Practice,School of Interactive Computing
Judy Hoffman,Assistant Professor,School of Interactive Computing
Brian Hrolenok,Post-Doc,School of Interactive Computing
Seth Hutchinson,"Professor, KUKA Chair for Robotics, Executive…",School of Interactive Computing
Charles Isbell,Dean of Computing/The John P. Imlay Jr. Chair ,School of Interactive Computing
Melody Jackson,"Director, Center for BioInterface Research and…",School of Interactive Computing
Sing-Bing Kang,Adjunct Assistant Professor,School of Interactive Computing
Yash Kant,Research Scientist I,School of Interactive Computing
Charlie Kemp,Adjunct Associate Professor,School of Interactive Computing
Jennifer Kim,Post-Doc,School of Interactive Computing
Zsolt Kira,"Assistant Professor, joint w/ GTRI",School of Interactive Computing
Janet Kolodner,Regents' Professor Emeritus,School of Interactive Computing
Neha Kumar,"Associate Professor, Joint with Sam Nunn School…",School of Interactive Computing
Christopher Le Dantec,Associate Professor,School of Interactive Computing
Stefan Lee,Research Scientist II,School of Interactive Computing
Michael Littman,Adjunct Professor,School of Interactive Computing
Blair MacIntyre,Professor,School of Interactive Computing
Brian Magerko,Adjunct Assistant Professor,School of Interactive Computing
Mahender Mandala,Research Scientist I,School of Interactive Computing
Keith McGreggor,Professor of the Practice,School of Interactive Computing
Elizabeth Mynatt,"Executive Director, Institute for People and…",School of Interactive Computing
Vrinda Nanda,Term Research Scientist I,School of Interactive Computing
Manisha Natarajan,Research Scientist I,School of Interactive Computing
Nancy Nersessian,Regents' Professor Emeritus,School of Interactive Computing
Vernelle A.A. Noel,"Assistant Professor, joint w/ School of…",School of Interactive Computing
HyunJoo Oh,"Assistant Professor, joint w/ School of…",School of Interactive Computing
Devi Parikh,Associate Professor,School of Interactive Computing
Andrea Grimes Parker,Associate Professor,School of Interactive Computing
Thomas Ploetz,Associate Professor,School of Interactive Computing
Colin Potts,Professor Emeritus,School of Interactive Computing
Ashwin Ram,Adjunct Associate Professor,School of Interactive Computing
Harish Ravichandar,Assistant Professor,School of Interactive Computing
James Rehg,Professor,School of Interactive Computing
Mark Riedl,Taetle Chair and Professor,School of Interactive Computing
Alan Ritter,Associate Professor,School of Interactive Computing
Jessica Roberts,Assistant Professor,School of Interactive Computing
Jarek Rossignac,Professor,School of Interactive Computing
Agata Rozga,Senior Research Scientist,School of Interactive Computing
Nikhil Lalit Shah,Adjunct Associate Professor,School of Interactive Computing
Thad Starner,Professor,School of Interactive Computing
John Stasko,Regents' Professor and Interim Chair,School of Interactive Computing
Sebastian Thrun,Adjunct Professor,School of Interactive Computing
Timothy Trent,Research Technologist I,School of Interactive Computing
Greg Turk,Professor,School of Interactive Computing
Sashank Varma,Professor,School of Interactive Computing
Bruce Walker,"Professor, Joint with School of Psychology",School of Interactive Computing
Lauren G. Wilcox,Associate Professor,School of Interactive Computing
Danfei Xu,Assistant Professor,School of Interactive Computing
Wei Xu,Assistant Professor,School of Interactive Computing
Diyi Yang,Assistant Professor,School of Interactive Computing
Ellen Zegura,Professor and Stephen Fleming Chair in…,School of Interactive Computing
